"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","Y1","Y2"
4.16,12,14717.39,1547.45,7706.76,113.73,113.73,629.93,288,601.72,1.67,1,8.95,1.02,16.77,0.33,1,0.99
7.15,21,39000.78,2678.05,9121,332.29,332.29,814.91,288,685.77,2.98,1,15.57,1.04,43.39,0.86,0.99,0.99
7.15,21,38996.27,2678.06,9123.26,332.26,332.26,824.81,288,689.16,2.98,1,15.6,1.04,44.03,0.87,0.98,0.99
3.14,9,8377.44,1386.75,7088.42,60.34,60.34,582.74,288,579.84,1.39,1,7.48,1.02,12.17,0.24,0.98,0.99
6.18,18,29763.12,2306.74,8801.36,245.95,245.95,747.89,288,659.08,2.51,1,13.11,1.03,32.7,0.65,1,1
2.09,6,5850.62,1393.49,6764.19,31.37,31.37,575.89,288,568.45,1.31,1,7.08,1.02,0,0.22,0.99,0.98
7.15,21,38979.09,2678.08,9136.43,332.04,332.04,844.74,288,698.07,2.96,1,15.53,1.04,45.11,0.89,0.95,0.98
5.14,15,21627.95,1924.34,8477.5,175.23,175.23,691.3,288,632.48,2.09,1,11.02,1.03,24.3,0.48,0.99,1
5.14,15,21632.17,1924.32,8484.64,175.29,175.29,713.95,288,639.66,2.08,1,11.13,1.03,25.49,0.51,0.97,0.98
7.15,21,38973.85,2678.08,9144.52,332.12,332.12,830.22,288,695.89,2.95,1,15.27,1.04,43.96,0.87,0.95,1
4.16,12,14721.6,1547.46,7753.61,113.77,113.77,653.5,288,610.09,1.66,1,9.02,1.02,17.8,0.35,0.97,0.98
5.14,15,21629.32,1924.31,8473.58,175.25,175.25,718.17,288,639.7,2.09,1,11.22,1.03,25.76,0.51,0.97,0.98
3.14,9,8375.46,1386.74,7049.53,60.31,60.31,580.19,288,577.67,1.39,1,7.52,1.02,12.09,0.24,0.99,0.99
4.16,12,14718.52,1547.45,7728.57,113.74,113.74,623.14,288,600.72,1.66,1,8.87,1.02,16.43,0.33,1,1
6.18,18,29761.93,2306.76,8802.35,245.96,245.96,768.67,288,665.15,2.51,1,13.25,1.03,33.97,0.67,0.99,0.99
6.18,18,29761.51,2306.84,8788.1,245.94,245.94,771.24,288,664.62,2.52,1,13.35,1.03,34.2,0.68,0.99,0.98
1.14,3,2036.44,1400.13,6677.16,10.4,10.4,496.39,288,553.82,1.17,1,6.3,1.02,0,0.12,0.98,0.99
1.14,3,441.34,1354.12,6720.97,7.78,7.78,449.54,288,546.54,1.1,1,5.86,1.02,2.37,0.07,0.96,1
4.16,12,14723.18,1547.47,7794.89,113.79,113.79,632.54,288,605.98,1.66,1,8.82,1.02,16.79,0.33,0.97,1
2.09,6,6882.97,1366.06,6779.35,26.29,26.29,599.75,288,569.33,1.33,1,7.13,1.02,14.32,0.27,0.99,1
3.14,9,8378.04,1386.75,7104,60.34,60.34,576.79,288,578.61,1.39,1,7.43,1.02,11.93,0.24,0.98,1
9.3,27,72763.28,3560.41,9776.54,645.06,645.06,1110.44,288,787.69,4.5,1,22.78,1.05,92.1,1.82,0.95,0.98
5.14,15,21628.67,1924.31,8471.74,175.23,175.23,718.63,288,639.64,2.09,1,11.23,1.03,25.8,0.51,0.97,0.98
7.15,21,39002.3,2678.04,9119.46,332.42,332.42,819.6,288,686.75,2.98,1,15.63,1.04,43.75,0.87,0.99,0.99
1.14,3,326.34,1335.91,6706.26,6.77,6.77,455.95,288,546.41,1.1,1,5.85,1.02,12.79,0.08,0.96,1
4.16,12,14721.67,1547.46,7762.38,113.77,113.77,643.69,288,607.77,1.66,1,8.95,1.02,17.34,0.34,0.97,0.98
3.14,9,8377.51,1386.75,7091.57,60.34,60.34,579.49,288,578.98,1.39,1,7.46,1.02,12.04,0.24,0.98,0.99
7.15,21,39006.9,2678.01,9116,332.44,332.44,823.41,288,687.01,2.99,1,15.72,1.04,44.09,0.87,0.99,0.98
7.15,21,38988.32,2678.07,9127.42,332.24,332.24,844.46,288,695.79,2.97,1,15.68,1.04,45.29,0.9,0.96,0.98
5.14,15,21631.14,1924.32,8482.64,175.25,175.25,709.91,288,638.31,2.08,1,11.12,1.03,25.28,0.5,0.97,0.99
3.14,9,8376.98,1386.75,7083.26,60.34,60.34,575.3,288,577.42,1.39,1,7.45,1.02,11.88,0.24,0.98,0.99
9.3,27,72762.23,3560.38,9757.65,644.74,644.74,1091.99,288,781.88,4.52,1,22.88,1.05,90.85,1.8,0.97,0.98
6.18,18,29763.05,2306.75,8804.38,245.94,245.94,750.9,288,660.22,2.51,1,13.11,1.03,32.87,0.65,1,1
7.15,21,38996.02,2678.05,9122.08,332.37,332.37,837.03,288,692.37,2.98,1,15.72,1.04,44.9,0.89,0.97,0.98
5.14,15,21638.12,1924.35,8508.03,175.33,175.33,706.35,288,639.89,2.07,1,10.96,1.03,24.98,0.49,0.96,1
8.21,24,50992.7,3087.44,9301.87,438,438,894.87,288,722.94,3.59,1,18.28,1.04,58.18,1.15,1,1
7.15,21,39002.59,2678.05,9120.69,332.43,332.43,806.1,288,683.15,2.98,1,15.5,1.04,42.78,0.85,0.99,0.99
6.18,18,29762.87,2306.79,8806.42,246,246,762.77,288,663.83,2.51,1,13.19,1.03,33.59,0.67,0.99,0.99
5.14,15,21631.97,1924.33,8487.15,175.3,175.3,705.12,288,637.42,2.08,1,11.06,1.03,25,0.5,0.97,0.99
5.14,15,21630.71,1924.31,8477.41,175.25,175.25,721.8,288,641.12,2.08,1,11.22,1.03,25.94,0.51,0.97,0.98
4.16,12,14719.6,1547.46,7745.63,113.76,113.76,624.07,288,601.66,1.66,1,8.85,1.02,16.45,0.33,0.99,1
4.16,12,14717.5,1547.44,7705.28,113.73,113.73,633.39,288,602.61,1.67,1,8.98,1.02,16.93,0.34,1,0.98
7.15,21,38992.86,2678.08,9127.33,332.25,332.25,813.45,288,686.87,2.97,1,15.44,1.04,43.16,0.86,0.98,1
3.14,9,8374.91,1386.73,7033.43,60.31,60.31,588.71,288,579.6,1.39,1,7.58,1.02,12.45,0.25,0.99,0.98
5.14,15,21635.3,1924.33,8496.82,175.32,175.32,711.84,288,640.32,2.08,1,11.05,1.03,25.32,0.5,0.96,0.99
3.14,9,8373.65,1386.72,7013.26,60.29,60.29,579.38,288,576.1,1.39,1,7.56,1.02,12.08,0.24,1,0.98
1.14,3,649.26,1362.74,6718.38,8.24,8.24,451.59,288,546.38,1.11,1,5.9,1.02,0,0.07,0.96,1
2.09,6,6466.3,1388.05,6796.47,30.36,30.36,586.67,288,569.81,1.32,1,7.11,1.02,1.93,0.24,0.99,0.99
5.14,15,21632.63,1924.33,8488.16,175.26,175.26,707.12,288,638.09,2.08,1,11.07,1.03,25.11,0.5,0.97,0.99
1.14,3,1478.28,1316.46,6647.43,5.76,5.76,518.28,288,555.47,1.14,1,6.2,1.02,27.45,0.16,0.96,0.98
7.15,21,39000.71,2678.06,9121.56,332.42,332.42,810.63,288,684.67,2.98,1,15.52,1.04,43.08,0.85,0.99,0.99
5.14,15,21623.14,1924.32,8460.29,175.19,175.19,694.74,288,631.7,2.09,1,11.13,1.03,24.56,0.49,1,0.99
7.15,21,38998.56,2678.06,9122.42,332.39,332.39,816.85,288,686.67,2.98,1,15.56,1.04,43.5,0.86,0.99,0.99
8.21,24,50995.65,3087.59,9325.78,438.07,438.07,931.66,288,738.58,3.56,1,18.21,1.04,60.52,1.2,0.95,1
4.16,12,14723.82,1547.46,7787.03,113.79,113.79,656.41,288,612.25,1.66,1,8.99,1.02,17.89,0.35,0.96,0.98
5.14,15,21628.84,1924.32,8475.17,175.26,175.26,708.72,288,637.21,2.09,1,11.15,1.03,25.25,0.5,0.98,0.98
4.16,12,14720.48,1547.46,7758.45,113.76,113.76,624.14,288,602.19,1.66,1,8.83,1.02,16.44,0.33,0.99,1
1.14,3,6851.72,1387.76,6734.17,9.84,9.84,649.15,288,579.4,1.33,1,7.18,1.02,0,0.3,0.95,0.99
6.18,18,29762.29,2306.77,8799.22,246.02,246.02,762.43,288,663.09,2.51,1,13.22,1.03,33.6,0.67,0.99,0.99
9.3,27,72762.94,3560.38,9730.42,644.72,644.72,1050.34,288,769.76,4.55,1,22.84,1.05,87.52,1.73,1,0.99
6.18,18,29764.31,2306.85,8808.53,245.94,245.94,760.65,288,663.4,2.51,1,13.16,1.03,33.44,0.66,0.99,0.99
2.09,6,2796.82,1363.26,6766.71,25.68,25.68,506.57,288,559.13,1.2,1,6.51,1.02,10.2,0.14,0.98,0.98
5.14,15,21631.73,1924.34,8489.63,175.31,175.31,695.02,288,634.78,2.08,1,10.98,1.03,24.45,0.48,0.98,1
5.14,15,21635.83,1924.33,8497.85,175.3,175.3,713.87,288,641,2.08,1,11.06,1.03,25.43,0.5,0.96,0.99
9.3,27,72773.23,3560.42,9782.76,645.04,645.04,1098.33,288,785.4,4.49,1,22.49,1.05,90.79,1.8,0.96,0.99
9.3,27,72772.08,3560.41,9769.39,644.98,644.98,1086.52,288,781.48,4.5,1,22.59,1.05,90.03,1.78,0.97,0.99
2.09,6,3014.19,1353.52,6781.25,23.93,23.93,518.13,288,560.84,1.2,1,6.53,1.02,16.03,0.15,0.97,0.98
6.18,18,29791.49,2307.4,8820.74,246.2,246.2,756.98,288,663.36,2.51,1,13.08,1.03,33.17,0.66,0.98,1
8.21,24,50994.35,3087.53,9316.87,438.05,438.05,922.23,288,733.85,3.57,1,18.29,1.04,60.01,1.19,0.97,0.99
6.18,18,29762.83,2306.84,8807.73,245.94,245.94,777.63,288,668.18,2.51,1,13.29,1.03,34.48,0.68,0.98,0.98
8.21,24,50994.98,3087.55,9318.62,438.07,438.07,930.47,288,736.4,3.57,1,18.35,1.04,60.63,1.2,0.96,0.99
2.09,6,4303.68,1391.95,6801.68,31.05,31.05,534.26,288,563.93,1.26,1,6.76,1.02,0,0.17,0.98,0.99
1.14,3,2445.57,1357.44,6608.15,7.95,7.95,523.49,288,555.17,1.18,1,6.43,1.02,12.79,0.16,0.99,0.98
5.14,15,21639.53,1924.35,8511.19,175.33,175.33,712.38,288,641.94,2.07,1,10.98,1.03,25.29,0.5,0.95,0.99
2.09,6,6769.33,1362.58,6779.64,25.64,25.64,597.03,288,568.73,1.32,1,7.1,1.02,16.04,0.26,0.99,1
6.18,18,29792.5,2307.38,8825.25,246.21,246.21,771.59,288,667.95,2.5,1,13.16,1.03,34.04,0.67,0.97,0.99
6.18,18,29770.38,2307.16,8812.59,246.05,246.05,792.84,288,672.9,2.51,1,13.38,1.03,35.38,0.7,0.96,0.98
4.16,12,14726.05,1547.48,7831.14,113.81,113.81,644.67,288,610.79,1.65,1,8.84,1.02,17.31,0.34,0.95,0.99
5.14,15,21631.05,1924.33,8485.12,175.26,175.26,699.7,288,635.66,2.08,1,11.03,1.03,24.72,0.49,0.98,0.99
