X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
9.3,27,72778.58,3560.43,9777.91,645.05,645.05,1081.88,288,781.1,4.49,1,22.36,1.05,89.35,1.77
9.3,27,72757.94,3560.37,9727.01,645,645,1057.71,288,771.41,4.55,1,22.99,1.05,88.3,1.75
9.3,27,72777.25,3560.42,9783.11,644.98,644.98,1090.5,288,783.6,4.49,1,22.38,1.05,90.03,1.78
3.14,9,8376.89,1386.75,7076.64,60.33,60.33,583,288,579.49,1.39,1,7.5,1.02,12.19,0.24
2.09,6,2853.03,1362.84,6831.22,25.62,25.62,502.02,288,559.28,1.2,1,6.42,1.02,10.46,0.13
2.09,6,5898.56,1350.01,6835.75,23.4,23.4,603.9,288,575.2,1.29,1,7,1.02,22.26,0.26
9.3,27,72778.89,3560.41,9765.8,645.02,645.02,1062.85,288,775.45,4.5,1,22.35,1.05,87.85,1.74
1.14,3,5914.32,1396.76,6703.66,10.21,10.21,596.73,288,567.73,1.3,1,6.95,1.02,0,0.25
7.15,21,38994.99,2678.07,9124.79,332.35,332.35,820.1,288,688.18,2.98,1,15.54,1.04,43.67,0.87
9.3,27,72763.28,3560.38,9740,644.71,644.71,1064.63,288,773.96,4.54,1,22.85,1.05,88.67,1.76
7.15,21,38982.38,2678.09,9136.6,332.11,332.11,817.72,288,690.35,2.96,1,15.31,1.04,43.26,0.86
3.14,9,8377.67,1386.75,7089.18,60.33,60.33,589.41,288,581.85,1.39,1,7.52,1.02,12.44,0.25
1.14,3,3903.33,1414.09,6708.93,11.24,11.24,540.63,288,560,1.24,1,6.61,1.02,0,0.18
7.15,21,39007.55,2678.01,9116.11,332.37,332.37,818.41,288,685.6,2.99,1,15.68,1.04,43.74,0.87
4.16,12,14719.62,1547.46,7744.14,113.76,113.76,627.47,288,602.55,1.66,1,8.87,1.02,16.61,0.33
1.14,3,5741.71,1401.35,6717.94,10.55,10.55,600.88,288,570.23,1.3,1,6.96,1.02,0,0.25
9.3,27,72775.21,3560.42,9773.68,645.11,645.11,1084.17,288,781.28,4.5,1,22.47,1.05,89.69,1.78
8.21,24,50995.07,3087.5,9310.11,438.02,438.02,939.95,288,736.6,3.59,1,18.64,1.04,61.66,1.22
9.3,27,72765.74,3560.4,9776.96,644.76,644.76,1107.47,288,787.03,4.5,1,22.73,1.05,91.81,1.82
3.14,9,8376.6,1386.74,7078.22,60.33,60.33,568,288,575.04,1.39,1,7.42,1.02,11.58,0.23
9.3,27,72765.76,3560.4,9766.03,645.09,645.09,1094.99,288,783.22,4.51,1,22.77,1.05,90.92,1.8
8.21,24,50986.19,3087.18,9297.66,437.89,437.89,928.82,288,730.73,3.6,1,18.75,1.04,61.08,1.21
3.14,9,8378.49,1386.75,7113.33,60.35,60.35,577.32,288,579.11,1.39,1,7.43,1.02,11.94,0.24
9.3,27,72775.63,3560.42,9760.91,645.07,645.07,1061.24,288,774.66,4.51,1,22.42,1.05,87.82,1.74
1.14,3,4172.77,1417.14,6737.96,11.56,11.56,568.71,288,568.27,1.25,1,6.74,1.02,0,0.2
7.15,21,38984.24,2678.08,9133.04,332.24,332.24,829.71,288,692.94,2.96,1,15.47,1.04,44.16,0.87
9.3,27,72768.95,3560.4,9747.34,644.9,644.9,1059.62,288,773.22,4.53,1,22.65,1.05,88.01,1.74
9.3,27,72781.98,3560.55,9794.21,644.88,644.88,1092.38,288,785.09,4.47,1,22.18,1.05,89.9,1.78
9.3,27,72766.01,3560.4,9751.04,644.8,644.8,1073.52,288,776.92,4.52,1,22.76,1.05,89.25,1.77
3.14,9,8377.58,1386.75,7090.97,60.34,60.34,581.95,288,579.69,1.39,1,7.48,1.02,12.14,0.24
2.09,6,2957.74,1371.02,6851.43,27.13,27.13,498.59,288,559.34,1.2,1,6.41,1.02,5.92,0.13
7.15,21,39002.25,2678.04,9118.86,332.31,332.31,825.63,288,688.33,2.98,1,15.69,1.04,44.18,0.88
6.18,18,29761.44,2306.83,8795.29,245.97,245.97,777.99,288,667.18,2.51,1,13.36,1.03,34.57,0.69
7.15,21,39003.07,2678.05,9121.35,332.36,332.36,797.08,288,680.69,2.98,1,15.42,1.04,42.14,0.83
9.3,27,72764.47,3560.4,9771.44,644.85,644.85,1103.71,288,785.7,4.5,1,22.78,1.05,91.6,1.81
6.18,18,29793.53,2307.35,8829.77,246.23,246.23,780.09,288,670.78,2.5,1,13.2,1.03,34.53,0.68
4.16,12,14719.53,1547.45,7729.96,113.74,113.74,642.22,288,606.05,1.66,1,8.99,1.02,17.31,0.34
5.14,15,21637.25,1924.34,8502.67,175.31,175.31,715.04,288,641.82,2.08,1,11.05,1.03,25.47,0.5
1.14,3,397.46,1346.88,6659.18,7.34,7.34,454.6,288,545.69,1.1,1,5.91,1.02,8.54,0.08
6.18,18,29761.96,2306.84,8790.11,245.95,245.95,765.85,288,663.26,2.52,1,13.3,1.03,33.86,0.67
9.3,27,72776.05,3560.41,9763.37,645.05,645.05,1065.38,288,775.87,4.51,1,22.43,1.05,88.15,1.75
1.14,3,1150.1,1380.74,6681.84,9.25,9.25,466.92,288,548.27,1.13,1,6.06,1.02,0,0.09
3.14,9,8373.94,1386.72,7023.22,60.29,60.29,576.22,288,575.53,1.39,1,7.53,1.02,11.95,0.24
3.14,9,8374.63,1386.73,7033.3,60.31,60.31,580.83,288,577.27,1.39,1,7.54,1.02,12.13,0.24
8.21,24,50994.81,3087.56,9326,437.97,437.97,928.93,288,737.95,3.56,1,18.17,1.04,60.29,1.19
5.14,15,21625.09,1924.33,8467.47,175.21,175.21,691.53,288,631.52,2.09,1,11.07,1.03,24.35,0.48
5.14,15,21635.54,1924.32,8492.64,175.32,175.32,725.79,288,643.82,2.08,1,11.17,1.03,26.08,0.52
7.15,21,38997.42,2678.06,9122.84,332.26,332.26,820.81,288,687.91,2.98,1,15.58,1.04,43.76,0.87
3.14,9,8379.96,1386.76,7137.71,60.37,60.37,585.92,288,582.56,1.39,1,7.44,1.02,12.28,0.24
1.14,3,1117.49,1382.75,6743.22,9.42,9.42,466.82,288,550.23,1.13,1,6.01,1.02,0,0.09
6.18,18,29787.6,2307.54,8815.15,246.16,246.16,789.04,288,672.02,2.51,1,13.34,1.03,35.14,0.7
1.14,3,2926.89,1415.12,6722.74,11.39,11.39,527.44,288,561.07,1.21,1,6.49,1.02,0,0.16
2.09,6,2899.89,1358.6,6837.88,24.86,24.86,505.82,288,559.93,1.2,1,6.42,1.02,12.73,0.14
2.09,6,4563.86,1343.96,6783.87,22.28,22.28,571.71,288,568.96,1.25,1,6.83,1.02,23.94,0.22
3.14,9,8379,1386.76,7118.47,60.35,60.35,586.06,288,581.91,1.39,1,7.46,1.02,12.29,0.24
1.14,3,658.34,1367.74,6692.76,8.62,8.62,470.41,288,552.41,1.11,1,6.03,1.02,0,0.09
1.14,3,1649.06,1395.41,6694.39,10.12,10.12,481.93,288,551.45,1.16,1,6.18,1.02,0,0.11
5.14,15,21625.23,1924.32,8466.65,175.25,175.25,696.8,288,632.94,2.09,1,11.11,1.03,24.64,0.49
5.14,15,21634.37,1924.35,8498.18,175.32,175.32,698.2,288,636.56,2.08,1,10.96,1.03,24.58,0.49
4.16,12,14722.06,1547.46,7767.19,113.77,113.77,645.94,288,608.58,1.66,1,8.95,1.02,17.44,0.35
6.18,18,29761.84,2306.77,8804.48,245.93,245.93,772.88,288,666.54,2.51,1,13.27,1.03,34.21,0.68
3.14,9,8374.76,1386.73,7039.68,60.31,60.31,574.37,288,575.58,1.39,1,7.5,1.02,11.86,0.24
6.18,18,29793.05,2307.38,8829.15,246.22,246.22,792.64,288,674.27,2.5,1,13.3,1.03,35.29,0.7
6.18,18,29761.29,2306.85,8790.19,245.94,245.94,778.7,288,666.92,2.51,1,13.39,1.03,34.65,0.69
7.15,21,38992.98,2678.07,9125.68,332.2,332.2,826.42,288,690.21,2.97,1,15.57,1.04,44.09,0.87
1.14,3,890.88,1372.67,6679.36,8.81,8.81,464.13,288,548.56,1.12,1,6.03,1.02,0,0.08
4.16,12,14724.12,1547.47,7799.86,113.8,113.8,644.83,288,609.59,1.66,1,8.89,1.02,17.35,0.34
1.14,3,5264.98,1405.27,6710.23,10.74,10.74,581.74,288,566.48,1.28,1,6.87,1.02,0,0.23
7.15,21,39002.71,2678.04,9119.53,332.32,332.32,816.28,288,685.81,2.98,1,15.6,1.04,43.52,0.86
9.3,27,72775.58,3560.4,9756.84,644.95,644.95,1058.83,288,773.74,4.52,1,22.47,1.05,87.69,1.74
2.09,6,4747.14,1344.03,6795.83,22.31,22.31,576.54,288,570.03,1.26,1,6.85,1.02,23.96,0.23
6.18,18,29797.06,2307.26,8842.87,246.31,246.31,784.85,288,673.28,2.5,1,13.16,1.03,34.75,0.69
2.09,6,5425.21,1394.11,6822.74,31.49,31.49,558.95,288,567.33,1.29,1,6.91,1.02,0,0.2
1.14,3,6325.59,1326.28,6702.63,6.33,6.33,649.2,288,575.73,1.29,1,7.01,1.02,28.28,0.32
3.14,9,8378.02,1386.75,7096.26,60.33,60.33,589.51,288,582.14,1.39,1,7.51,1.02,12.44,0.25
7.15,21,38998.61,2678.06,9121.86,332.37,332.37,821.18,288,687.78,2.98,1,15.6,1.04,43.81,0.87
3.14,9,8377.01,1386.75,7074.79,60.33,60.33,590.48,288,581.65,1.39,1,7.54,1.02,12.49,0.25
9.3,27,72764.92,3560.4,9763.69,644.85,644.85,1092.7,288,782.5,4.51,1,22.78,1.05,90.77,1.8
9.3,27,72762.99,3560.38,9747.76,644.77,644.77,1079.03,288,778.04,4.53,1,22.89,1.05,89.86,1.78
9.3,27,72770.01,3560.41,9766.63,645.1,645.1,1087.13,288,781.4,4.51,1,22.65,1.05,90.16,1.79
9.3,27,72769.66,3560.43,9774.31,644.85,644.85,1093.11,288,783.45,4.5,1,22.58,1.05,90.52,1.79
9.3,27,72775.55,3560.4,9750.93,644.85,644.85,1049.6,288,771,4.52,1,22.46,1.05,86.95,1.72
4.16,12,14720.26,1547.46,7756.22,113.76,113.76,623.7,288,601.98,1.66,1,8.83,1.02,16.42,0.33
6.18,18,29796.48,2307.27,8840.73,246.35,246.35,785.4,288,673.25,2.5,1,13.18,1.03,34.79,0.69
5.14,15,21625.37,1924.34,8470.09,175.26,175.26,685.89,288,630.18,2.09,1,11.02,1.03,24.04,0.48
3.14,9,8375.23,1386.74,7040.65,60.31,60.31,587.54,288,579.52,1.39,1,7.57,1.02,12.39,0.25
9.3,27,72776.91,3560.4,9752.85,644.81,644.81,1049.84,288,771.2,4.52,1,22.43,1.05,86.93,1.72
8.21,24,50983.72,3087.11,9294.88,438.01,438.01,925.55,288,729.22,3.61,1,18.77,1.04,60.88,1.21
2.09,6,2897.76,1370.37,6800.22,26.99,26.99,502.55,288,559.32,1.2,1,6.48,1.02,6.23,0.13
4.16,12,14722.79,1547.46,7774.61,113.78,113.78,650,288,609.99,1.66,1,8.97,1.02,17.61,0.35
5.14,15,21632.27,1924.32,8483.79,175.25,175.25,716.42,288,640.27,2.08,1,11.15,1.03,25.62,0.51
7.15,21,38985.1,2678.08,9133.1,332.24,332.24,823,288,691.03,2.96,1,15.42,1.04,43.7,0.87
6.18,18,29793.25,2307.34,8827.07,246.25,246.25,760.02,288,664.79,2.5,1,13.07,1.03,33.32,0.66
9.3,27,72770.08,3560.39,9742.49,644.79,644.79,1051.5,288,770.85,4.53,1,22.64,1.05,87.34,1.73
9.3,27,72778,3560.41,9766.07,644.83,644.83,1064.79,288,775.95,4.5,1,22.37,1.05,88.03,1.74
9.3,27,72774.67,3560.43,9774.8,645.07,645.07,1085.31,288,781.64,4.5,1,22.47,1.05,89.77,1.78
6.18,18,29793.11,2307.35,8827.3,246.22,246.22,769.44,288,667.52,2.5,1,13.13,1.03,33.9,0.67
5.14,15,21628.6,1924.31,8472.52,175.23,175.23,713.13,288,638.17,2.09,1,11.19,1.03,25.5,0.51
5.14,15,21626.48,1924.34,8474.62,175.22,175.22,685.53,288,630.53,2.09,1,10.99,1.03,24,0.48
9.3,27,72766.07,3560.39,9746.3,645,645,1067.2,288,775.03,4.53,1,22.77,1.05,88.76,1.76
5.14,15,21629.11,1924.31,8472.68,175.24,175.24,719.15,288,639.89,2.09,1,11.23,1.03,25.82,0.51
3.14,9,8373.25,1386.72,7003.29,60.28,60.28,582.56,288,576.67,1.39,1,7.59,1.02,12.22,0.24
3.14,9,8376.94,1386.75,7084.2,60.33,60.33,571.68,288,576.37,1.39,1,7.43,1.02,11.73,0.23
5.14,15,21639.15,1924.36,8512.8,175.34,175.34,706.05,288,640.29,2.07,1,10.93,1.03,24.94,0.49
8.21,24,50992.89,3087.45,9300.2,437.99,437.99,898.93,288,723.58,3.59,1,18.36,1.04,58.56,1.16
5.14,15,21639.63,1924.35,8513.87,175.36,175.36,708.05,288,640.97,2.07,1,10.94,1.03,25.04,0.5
9.3,27,72767.2,3560.41,9773.86,644.89,644.89,1101.02,288,785.27,4.5,1,22.7,1.05,91.29,1.81
4.16,12,14725.72,1547.48,7824.69,113.8,113.8,645.94,288,610.88,1.65,1,8.86,1.02,17.37,0.34
3.14,9,8379.09,1386.76,7117.09,60.35,60.35,592.33,288,583.73,1.39,1,7.5,1.02,12.54,0.25
4.16,12,14721.71,1547.46,7774.4,113.78,113.78,628.51,288,604.04,1.66,1,8.83,1.02,16.63,0.33
1.14,3,5698.05,1352.47,6635.47,7.71,7.71,625,288,570.56,1.29,1,7.03,1.02,18.05,0.28
5.14,15,21631.3,1924.34,8486.88,175.3,175.3,696.37,288,634.89,2.08,1,11,1.03,24.53,0.49
9.3,27,72766.28,3560.39,9738.93,645,645,1054.94,288,771.47,4.54,1,22.75,1.05,87.76,1.74
1.14,3,4026.21,1417.5,6737.81,11.59,11.59,565.25,288,568.1,1.24,1,6.72,1.02,0,0.2
7.15,21,38986.96,2678.08,9131.64,332.21,332.21,821.01,288,690.1,2.97,1,15.43,1.04,43.59,0.86
4.16,12,14720.49,1547.45,7737.92,113.76,113.76,650.28,288,608.57,1.66,1,9.03,1.02,17.67,0.35
8.21,24,50995.51,3087.52,9311.32,438.11,438.11,941.27,288,737.24,3.58,1,18.63,1.04,61.74,1.22
9.3,27,72777.31,3560.42,9770.23,644.82,644.82,1073.99,288,778.53,4.5,1,22.41,1.05,88.8,1.76
5.14,15,21629.92,1924.32,8478.85,175.25,175.25,707.83,288,637.33,2.08,1,11.12,1.03,25.19,0.5
6.18,18,29765.75,2306.89,8809.6,245.96,245.96,754.93,288,661.84,2.51,1,13.11,1.03,33.09,0.66
7.15,21,38978.84,2678.08,9139.02,332.06,332.06,827.73,288,693.83,2.96,1,15.35,1.04,43.9,0.87
1.14,3,1747.78,1397.77,6697.92,10.27,10.27,486.28,288,552.57,1.16,1,6.21,1.02,0,0.11
1.14,3,323.11,1341.25,6703.41,7.04,7.04,449.62,288,545.08,1.1,1,5.83,1.02,9.46,0.08
2.09,6,3971.11,1388.81,6842.31,30.45,30.45,521.3,288,562.66,1.24,1,6.63,1.02,0,0.15
9.3,27,72761.99,3560.39,9752.64,644.77,644.77,1085.46,288,779.95,4.52,1,22.89,1.05,90.36,1.79
8.21,24,50995.31,3087.56,9313.75,437.96,437.96,932.23,288,735.59,3.58,1,18.47,1.04,60.92,1.21
7.15,21,39019.75,2677.89,9108.84,332.59,332.59,822.17,288,684.92,3,1,15.84,1.04,44.16,0.87
9.3,27,72768.56,3560.41,9766.97,645,645,1089.15,288,781.91,4.51,1,22.67,1.05,90.34,1.79
8.21,24,50994.71,3087.54,9316.36,438.12,438.12,927.71,288,735.12,3.57,1,18.36,1.04,60.47,1.2
7.15,21,39009.31,2677.99,9113.95,332.38,332.38,829.24,288,688.17,2.99,1,15.81,1.04,44.53,0.88
4.16,12,14724.25,1547.47,7809.04,113.8,113.8,636.56,288,607.66,1.66,1,8.82,1.02,16.96,0.34
6.18,18,29791.29,2307.43,8820.98,246.2,246.2,769.53,288,666.99,2.51,1,13.17,1.03,33.94,0.67
6.18,18,29790.49,2307.47,8819.09,246.27,246.27,778.1,288,669.27,2.51,1,13.24,1.03,34.47,0.68
2.09,6,6665.55,1385.68,6762.4,29.91,29.91,596.91,288,570.4,1.33,1,7.2,1.02,3.45,0.25
1.14,3,2504.76,1362.86,6606.61,8.19,8.19,511.39,288,551.68,1.18,1,6.4,1.02,9.91,0.15
6.18,18,29793.33,2307.38,8830.43,246.22,246.22,798.17,288,675.94,2.5,1,13.33,1.03,35.61,0.71
8.21,24,50997.92,3087.63,9320.04,438,438,947.94,288,741.11,3.57,1,18.55,1.04,62.05,1.23
9.3,27,72782.76,3560.49,9793.79,645.14,645.14,1090.35,288,784.58,4.47,1,22.16,1.05,89.72,1.78
9.3,27,72770.72,3560.42,9779.32,644.92,644.92,1099.8,288,785.44,4.49,1,22.58,1.05,91.02,1.8
3.14,9,8374.91,1386.73,7038.66,60.3,60.3,578.02,288,576.63,1.39,1,7.52,1.02,12.01,0.24
2.09,6,5909.9,1393.04,6775.54,31.28,31.28,575.86,288,568.6,1.31,1,7.07,1.02,0,0.22
5.14,15,21626.32,1924.32,8467.72,175.23,175.23,704.61,288,635.27,2.09,1,11.16,1.03,25.06,0.5
6.18,18,29763.01,2306.74,8802.35,245.95,245.95,749.92,288,659.76,2.51,1,13.12,1.03,32.82,0.65
7.15,21,39010.53,2677.99,9114.17,332.45,332.45,819.18,288,685.35,2.99,1,15.72,1.04,43.83,0.87
7.15,21,38987.02,2678.07,9128.95,332.22,332.22,841.32,288,695.27,2.97,1,15.63,1.04,45.04,0.89
2.09,6,3910.55,1344.83,6775.02,22.41,22.41,552.08,288,565.74,1.23,1,6.71,1.02,22.55,0.2
8.21,24,50993.8,3087.49,9306.23,438.08,438.08,913.86,288,728.98,3.59,1,18.41,1.04,59.62,1.18
8.21,24,50994.87,3087.5,9308.07,438.07,438.07,936.26,288,735.17,3.59,1,18.63,1.04,61.41,1.22
8.21,24,50994.32,3087.53,9319.37,438.05,438.05,922.26,288,734.51,3.57,1,18.23,1.04,59.94,1.19
3.14,9,8379.14,1386.76,7116.55,60.35,60.35,594.87,288,584.47,1.39,1,7.51,1.02,12.64,0.25
7.15,21,38995.32,2678.07,9125.4,332.3,332.3,812.5,288,686.13,2.98,1,15.47,1.04,43.13,0.85
4.16,12,14720.31,1547.46,7758.19,113.76,113.76,622.87,288,601.82,1.66,1,8.82,1.02,16.38,0.32
8.21,24,50993.23,3087.46,9300.67,438.09,438.09,905.62,288,725.45,3.59,1,18.43,1.04,59.1,1.17
4.16,12,14723.09,1547.47,7792.88,113.79,113.79,633.39,288,606.14,1.66,1,8.83,1.02,16.83,0.33
5.14,15,21624.88,1924.33,8466.58,175.21,175.21,692.47,288,631.7,2.09,1,11.08,1.03,24.41,0.48
2.09,6,6289.43,1389.84,6804.42,30.7,30.7,581.42,288,569.52,1.32,1,7.07,1.02,0.53,0.23
4.16,12,14719.62,1547.46,7742.42,113.74,113.74,629.61,288,603.07,1.66,1,8.89,1.02,16.71,0.33
8.21,24,50990.44,3087.33,9302.04,437.94,437.94,932.37,288,732.7,3.6,1,18.71,1.04,61.25,1.21
2.09,6,3913.41,1345.4,6819.08,22.52,22.52,546.43,288,565.61,1.23,1,6.64,1.02,21.97,0.19
5.14,15,21637,1924.33,8500.85,175.31,175.31,716.97,288,642.18,2.08,1,11.07,1.03,25.58,0.51
2.09,6,4647.35,1393.46,6838.43,31.35,31.35,538.2,288,565.09,1.27,1,6.76,1.02,0,0.17
7.15,21,38990.8,2678.07,9125.45,332.29,332.29,843.47,288,695.02,2.97,1,15.71,1.04,45.26,0.9
1.14,3,967.72,1317.53,6701.54,5.81,5.81,492.11,288,551.9,1.12,1,6.01,1.02,24.09,0.13
1.14,3,7107.82,1341.28,6710.1,7.17,7.17,667.12,288,578.95,1.32,1,7.16,1.02,22.21,0.33
3.14,9,8377.51,1386.75,7083.48,60.34,60.34,593.55,288,582.88,1.39,1,7.55,1.02,12.61,0.25
3.14,9,8373.92,1386.72,7020.73,60.3,60.3,577.01,288,575.67,1.39,1,7.54,1.02,11.98,0.24
1.14,3,3297.69,1377.22,6607.18,9.06,9.06,536.74,288,556.39,1.22,1,6.59,1.02,7.3,0.18
4.16,12,14724.44,1547.47,7809.36,113.79,113.79,637.87,288,608.04,1.66,1,8.83,1.02,17.02,0.34
5.14,15,21632.78,1924.33,8488.26,175.28,175.28,710.08,288,638.94,2.08,1,11.09,1.03,25.27,0.5
3.14,9,8375.03,1386.74,7039.47,60.3,60.3,583.37,288,578.25,1.39,1,7.55,1.02,12.23,0.24
2.09,6,6184.66,1352.65,6766.94,23.83,23.83,583.62,288,565.88,1.3,1,7,1.02,20.26,0.25
2.09,6,4965.61,1394.64,6797.03,31.57,31.57,550.14,288,565.8,1.28,1,6.88,1.02,0,0.19
4.16,12,14721.03,1547.46,7753.38,113.77,113.77,641.87,288,606.9,1.66,1,8.95,1.02,17.27,0.34
6.18,18,29798.54,2307.21,8852.13,246.4,246.4,775.17,288,671.33,2.49,1,13.04,1.03,34.11,0.68
5.14,15,21629.07,1924.34,8481.19,175.28,175.28,691.89,288,633.03,2.08,1,11,1.03,24.31,0.48
1.14,3,4454.93,1411.78,6692.6,11.17,11.17,572.53,288,566.47,1.26,1,6.81,1.02,0,0.21
1.14,3,1433.32,1387.75,6669.38,9.68,9.68,481.95,288,551.71,1.15,1,6.18,1.02,0.56,0.1
7.15,21,38991.6,2678.07,9126.09,332.28,332.28,832.15,288,691.95,2.97,1,15.61,1.04,44.47,0.88
1.14,3,1154.34,1316.51,6692.6,5.73,5.73,495.07,288,551.46,1.13,1,6.04,1.02,24.88,0.14
6.18,18,29792.54,2307.37,8825.07,246.25,246.25,765.25,288,666.12,2.5,1,13.11,1.03,33.66,0.67
3.14,9,8375.83,1386.74,7056.43,60.32,60.32,580.27,288,577.95,1.39,1,7.51,1.02,12.09,0.24
2.09,6,4824.72,1394.28,6805.8,31.5,31.5,546.75,288,565.76,1.27,1,6.85,1.02,0,0.18
4.16,12,14722.42,1547.46,7769.76,113.77,113.77,647.74,288,609.18,1.66,1,8.96,1.02,17.51,0.35
9.3,27,72772.21,3560.41,9758.15,644.83,644.83,1068.55,288,776.23,4.52,1,22.57,1.05,88.59,1.75
9.3,27,72759.18,3560.37,9732.69,645.05,645.05,1063,288,773.09,4.55,1,22.96,1.05,88.68,1.76
5.14,15,21625.6,1924.32,8464.99,175.22,175.22,704.55,288,634.97,2.09,1,11.17,1.03,25.07,0.5
6.18,18,29790.32,2307.49,8819.41,246.23,246.23,789.52,288,672.53,2.51,1,13.32,1.03,35.16,0.7
9.3,27,72769.98,3560.41,9772.38,645.09,645.09,1092.85,288,783.22,4.5,1,22.62,1.05,90.55,1.79
4.16,12,14719.87,1547.45,7732.68,113.75,113.75,645.34,288,607.01,1.66,1,9.01,1.02,17.45,0.35
2.09,6,6812.26,1363.57,6826.03,25.89,25.89,631.86,288,580.18,1.32,1,7.22,1.02,16.83,0.29
3.14,9,8378.8,1386.76,7117.59,60.35,60.35,579.43,288,579.89,1.39,1,7.43,1.02,12.02,0.24
4.16,12,14724.89,1547.47,7813.23,113.81,113.81,644.94,288,610.15,1.66,1,8.87,1.02,17.34,0.34
9.3,27,72761.65,3560.37,9729.67,645.06,645.06,1053.14,288,770.42,4.55,1,22.89,1.05,87.8,1.74
9.3,27,72770.69,3560.41,9761.48,645.12,645.12,1078.64,288,778.95,4.51,1,22.63,1.05,89.48,1.77
3.14,9,8381.08,1386.77,7158.98,60.38,60.38,588.76,288,584.16,1.39,1,7.43,1.02,12.38,0.25
9.3,27,72768.52,3560.39,9742.93,644.76,644.76,1055.34,288,771.84,4.53,1,22.68,1.05,87.7,1.74
7.15,21,38983.21,2678.09,9131.91,332.19,332.19,850.6,288,698.64,2.96,1,15.65,1.04,45.61,0.9
8.21,24,50994.39,3087.51,9307.58,438.08,438.08,924.78,288,732.13,3.59,1,18.51,1.04,60.48,1.2
4.16,12,14718.21,1547.45,7726.17,113.74,113.74,621.44,288,600.14,1.66,1,8.86,1.02,16.35,0.32
3.14,9,8379.15,1386.76,7120.49,60.35,60.35,587.76,288,582.49,1.39,1,7.47,1.02,12.36,0.25
1.14,3,3051.35,1336.39,6615.51,6.71,6.71,538.88,288,554.88,1.2,1,6.47,1.02,22.76,0.19
8.21,24,50993.66,3087.5,9313.91,438.07,438.07,911.04,288,730.21,3.57,1,18.22,1.04,59.18,1.17
6.18,18,29790.62,2307.45,8817.61,246.27,246.27,755.47,288,662.65,2.51,1,13.08,1.03,33.1,0.66
8.21,24,50994.34,3087.51,9307.72,437.97,437.97,926.5,288,732.6,3.59,1,18.52,1.04,60.62,1.2
4.16,12,14718.88,1547.45,7717.78,113.75,113.75,644.86,288,606.27,1.66,1,9.03,1.02,17.44,0.35
3.14,9,8380.17,1386.76,7138.73,60.37,60.37,592.66,288,584.61,1.39,1,7.47,1.02,12.54,0.25
7.15,21,38997.82,2678.07,9124.59,332.27,332.27,803.1,288,683.21,2.98,1,15.41,1.04,42.49,0.84
4.16,12,14721.3,1547.46,7751.07,113.77,113.77,651.68,288,609.49,1.66,1,9.02,1.02,17.72,0.35
3.14,9,8374.84,1386.73,7042.87,60.31,60.31,571.19,288,574.74,1.39,1,7.48,1.02,11.73,0.23
8.21,24,50996.97,3087.61,9321.79,438.02,438.02,935.64,288,738.52,3.57,1,18.34,1.04,60.97,1.21
8.21,24,50993.89,3087.51,9315.72,438,438,914.76,288,731.64,3.57,1,18.22,1.04,59.43,1.18
2.09,6,3672.76,1385.4,6835.16,29.8,29.8,514.43,288,561.55,1.23,1,6.58,1.02,0,0.14
3.14,9,8375.99,1386.74,7057.33,60.31,60.31,585.66,288,579.58,1.39,1,7.54,1.02,12.31,0.24
